,Filename,ASA_A^2,ASA_m^2/cm^3,ASA_m^2/g,Largest Included Sphere,Largest Free Sphere,Included Sphere Along Free Sphere Path
0,abadug_P1,810.098,1799.6,1719.75,7.08511,3.79861,6.69659
4,abedaq_P1,1566.87,1907.0,1895.1,6.4681,3.72904,6.41562
5,abexiq_P1,246.349,946.551,491.58,4.27025,3.44659,4.26841
6,abexow_P1,238.312,926.298,474.546,4.2247,3.37759,4.2247
7,abexuc_P1,244.594,960.327,482.801,4.2028,3.33086,4.17672
8,abeyaj_P1,231.128,920.174,449.014,4.13221,3.42433,4.12682
9,abeyen_P1,231.5,928.593,447.884,4.1103,3.35201,4.1103
10,abeyir_P1,213.819,862.997,408.131,4.09129,3.34244,4.09129
12,acajof_P1,419.475,1314.4,1078.52,6.86398,6.10482,6.86398
15,aciboe_P1_H,1174.53,1553.94,1208.68,8.26184,7.04151,8.26184
16,acicoh_P1,112.28,1395.58,1116.16,5.23439,3.67775,5.17003
18,acoded_P1,964.406,1740.86,1538.58,6.06805,3.77883,6.00167
19,acodon_P1_charged_H,698.241,2052.06,1761.65,7.12973,4.65534,7.12973
20,acolip_P1,554.643,1815.12,1729.51,4.90433,3.57572,4.66734
21,acufek_P1_H,17233.2,2266.37,3874.53,13.15752,7.60164,13.15752
23,acurey_P1,999.44,833.291,666.762,4.84425,3.67908,4.84209
24,acuruo_P1,1018.04,1790.87,1617.61,6.84866,4.2529,6.83875
25,acutoi_P1_H,282.54,841.596,471.945,5.18258,4.37811,5.18258
26,acuyab_P1,959.892,1761.72,1544.09,10.0214,8.7083,9.99216
27,adegey_P1_charged,1592.61,2422.46,2373.23,6.80312,4.92448,6.80024
28,adilor_P1,319.977,528.447,241.12,5.73567,4.77717,5.72258
30,adoguz_P1_H,446.931,1749.2,1325.21,5.0223,3.66126,4.69464
31,adoken_P1,209.708,648.217,434.671,4.02771,3.12158,4.0233
33,adosul_P1_H,665.132,1885.98,1577.6,6.24586,3.41538,6.24396
34,adulix_P1,295.552,496.038,222.714,5.57792,4.73998,5.57792
35,aduroi_P1_H,52491.1,1413.97,3382.4,24.96723,13.8678,24.96718
38,afenux_P1,171.521,1182.2,751.742,4.34761,3.79366,4.3211
40,afitit_P1,1431.92,1676.77,1649.02,7.34375,5.37707,7.06422
42,afotof_P1,631.639,1994.39,1703.28,6.60057,5.0347,6.59902
43,afotul_P1,645.624,2016.96,1746.0,6.68393,5.07216,6.1212
44,afovat_P1,613.767,1926.43,1694.72,6.397,4.99848,6.31381
45,afovex_P1,651.727,2003.93,1795.55,6.68924,5.0823,6.68924
46,afovib_P1,621.834,1980.32,1661.11,6.59796,4.92425,6.53518
47,afowok_P1,744.746,1064.12,667.766,7.60617,5.6601,7.60617
48,afuket_P1,6894.62,1853.13,1880.51,5.97459,4.78462,5.77234
49,agaruw_P1,308.103,1272.38,680.134,6.5236,6.24303,6.5236
52,agofej_P1_charged_H,5100.15,2083.38,3368.71,12.30105,8.07675,12.21509
53,agovid_P1_charged,6102.93,2242.98,3492.6,12.48057,8.64841,12.48057
54,agowaw_P1_charged,4738.2,2215.39,2969.26,13.59793,8.32661,13.59793
55,agowea_P1_charged,2355.67,2169.55,1822.6,8.31511,4.54136,8.31511
61,ahebas_P1_H,647.12,1288.49,998.91,5.245,3.09493,5.245
62,aheqah_P1_H,1447.76,2461.28,3081.09,9.26829,6.21673,9.2669
63,ahinip_P1,231.607,760.674,605.428,5.07247,2.88337,4.21233
68,ahujev_P1,269.269,920.534,561.673,4.4155,3.499,4.40457
69,ahutih_P1,54.5965,511.881,236.89,3.5279,3.26762,3.52397
73,ajagoi_P1,204.935,1067.9,502.149,7.33436,7.04058,7.33436
74,ajayit_P1,229.621,1045.75,527.114,7.12611,4.89275,7.12611
76,ajidop_P1,845.754,1914.91,1785.46,6.8908,4.58416,6.89001
77,ajifad_P1,587.629,1430.76,1194.41,6.81423,5.3654,6.81423
78,ajifux_P1,601.614,1453.98,1222.84,6.62776,5.41395,6.61904
79,ajigil_P1_H,881.398,966.568,794.413,6.70091,5.08341,6.70055
80,ajimen_P1,170.828,1664.99,1166.34,5.01182,3.34069,5.01182
81,ajoveb_P1,599.916,560.147,279.123,5.14852,4.21249,5.14852
82,ajuhof_P1_H,3957.51,1989.7,1826.52,9.78126,5.58722,9.29651
83,ajuhul_P1_H,3744.7,1882.99,1728.31,10.19778,6.1074,10.19778
84,ajunok_P1,535.163,1021.66,710.654,4.97833,2.92387,4.96161
86,akayiv_P1,879.841,1294.48,1132.46,9.48255,9.1997,9.47754
87,akepoy_P1,606.393,1577.3,1444.02,7.67119,7.2351,7.66005
88,akojao_P1,935.525,1829.9,988.195,6.64869,3.51354,6.64117
89,akoruq_P1,254.366,1148.52,910.205,5.59288,3.19032,5.59288
90,alajop01_P1_H,1653.43,2608.87,4610.43,8.47187,6.27973,8.47187
91,alajop_P1_H,1188.41,1875.14,2209.18,8.58917,5.84088,8.58917
92,alamuw_P1,3841.77,2503.33,3093.44,11.3145,3.4978,8.86728
93,alanad_P1,5237.95,2048.31,2214.11,8.23629,5.32411,8.23629
94,alecay_P1_charged,4142.97,1729.01,4133.52,13.50418,10.6663,12.61429
97,aludix_P1_H,530.779,2323.78,2178.67,5.96773,3.78901,5.96773
98,alukic_P1,3674.0,2890.37,3958.15,6.69309,5.0685,6.58087
99,alukoi_P1,3666.27,2895.83,3892.74,6.68104,5.08377,6.67312
100,alukuo_P1,3678.97,2909.84,3897.41,6.6661,5.06973,6.6661
101,alulav_P1,3661.72,2910.7,3850.5,6.65399,5.06505,6.65399
102,alulid_P1,864.847,2231.2,2286.4,7.81513,5.26932,7.81513
103,alurad_P1,368.11,1638.46,1220.22,8.10902,7.78806,8.10902
104,alureh_P1,368.861,1657.0,1208.64,8.0951,7.71577,8.0951
105,aluril_P1,368.982,1644.21,1204.65,8.11032,7.85497,8.11032
106,amagax_P1,1432.82,1129.18,773.857,6.9357,6.09475,6.93445
107,amavoc_P1,130.545,607.092,413.497,4.8947,4.53612,4.89039
108,amiloy_P1,1132.29,1227.92,1158.29,11.01964,9.16134,10.98264
109,amimal_P1,1108.7,1180.22,1134.16,11.04883,9.49564,11.04603
110,amimep_P1,1083.14,1149.57,1108.01,11.21217,10.86646,11.2102
111,amufum_P1,581.115,1432.05,1105.53,4.70101,3.90436,4.70101
112,amuvai_P1_charged_H,10742.8,1860.6,3258.1,15.36759,11.88739,15.36759
113,amuwub_P1_H,539.852,1669.23,1721.47,8.91952,7.75015,8.88281
114,amuxai_P1_charged_H,459.526,1462.31,1340.24,7.31367,5.50636,7.29167
118,anehei_P1_H,465.903,1598.32,1248.83,5.91727,3.22829,5.69953
119,anomic_P1_H,617.312,1480.51,1170.44,6.26254,3.38934,6.26254
120,anugia_P1_H,4113.46,2581.84,4317.51,13.86023,5.24251,13.85985
121,anugog_P1_H,7485.94,2720.64,4416.24,11.37659,5.65459,11.33004
122,apayib_P1,1341.7,2191.55,1845.37,5.82803,4.21212,5.82803
123,apayoh_P1,1473.08,2378.23,2000.64,5.99371,4.14872,5.99371
124,apayun_P1,1313.51,2077.3,1850.76,5.97076,4.10555,5.96369
125,apazau_P1,1931.86,2402.33,2332.74,6.57194,4.44244,6.57194
126,apazey_P1,1983.65,2441.36,2368.83,6.61049,4.46802,6.61049
127,apazic_P1,2087.56,2445.09,2574.68,7.1095,4.73443,7.09773
128,apazoi_P1,1045.56,2137.66,1717.91,4.80201,4.01752,4.80201
130,apobep_P1_charged,123.147,931.012,330.579,6.11818,2.86962,6.11818
131,apuvis_P1,463.8,1423.2,1269.9,8.51039,8.28055,8.51039
136,aqodoa_P1,39.0079,280.612,150.122,3.45952,3.20541,3.43624
138,aqucog_P1,662.528,1707.47,1423.24,11.41409,10.59989,11.41409
139,aqucum_P1,660.517,1700.99,1418.92,11.51516,10.72342,11.51514
140,aqudib_P1,664.416,1711.94,1427.29,11.36097,10.54501,11.36097
141,arajio_P1,667.478,1452.8,1245.99,5.82193,4.26368,4.89692
142,arajou_P1,621.249,1391.83,1160.38,5.44423,4.05664,4.79791
143,arakah_P1,655.956,1429.11,1205.18,5.77617,4.24564,4.92271
145,arazol_P1,454.768,1635.02,1532.98,5.71118,4.4424,5.23447
147,ariqie_P1,520.602,1298.18,1038.7,6.36068,5.38996,6.34538
148,arofap_P1_H,601.31,1686.51,1382.03,6.18805,4.30968,6.18805
149,arofet_P1_H,745.813,2296.12,2571.23,8.11624,5.15676,7.68943
150,arohoh_P1,4669.77,2632.9,3186.16,7.94803,6.03401,7.10812
151,aroqab_P1_charged,246.518,572.833,506.325,4.71682,2.90656,4.42915
156,arupub_P1,760.558,1558.72,1564.01,5.50142,4.01726,5.45086
157,asamue_P1_H,958.375,1034.2,481.394,4.08694,3.02669,4.06275
158,asepog_P1,230.891,1039.96,557.882,4.58636,3.51089,4.24471
161,asoyoy_P1,2719.49,1667.01,1627.49,9.06172,5.25055,9.06172
162,asozam_P1,729.592,2058.84,1965.48,6.55106,3.76792,6.54317
164,asujij_P1_charged,429.945,1297.14,923.104,4.50727,2.921,4.49615
165,asuwui_P1,646.013,1416.1,1203.06,6.03329,4.08041,6.03329
166,atahua_P1,668.81,895.189,657.93,5.40514,3.024,5.2533
167,atajai_P1,1257.53,1508.33,1362.67,6.59653,4.56385,5.64429
169,atigui_P1,198.554,570.753,350.381,4.4646,2.83901,4.46061
170,atobiw_P1,869.263,1366.55,1228.07,7.08528,5.06381,7.08528
172,atoguo_P1,175.391,734.278,629.554,4.6088,3.06412,4.6088
174,atoxen_P1,147.272,913.224,689.378,4.54614,3.60508,4.54614
175,aturis_P1_charged,1735.8,2446.22,4397.91,9.42302,7.17951,9.21046
182,avebub_P1_charged,2163.39,2301.98,3133.56,9.34131,8.6948,9.32861
183,aveham_P1,286.726,965.352,797.861,4.51878,3.91315,4.51878
184,avelod_P1_H,883.046,1827.81,1991.05,8.08398,4.97701,8.08398
185,avemaq_P1_H,912.906,1900.88,2088.74,7.89142,4.98493,7.83353
186,aveqid_P1_H,1031.42,2274.21,2609.39,7.57594,5.55917,7.57052
187,averoj_P1,230.364,1817.81,1070.82,7.00953,6.80903,7.00835
188,avesol_P1,1097.5,2737.76,2781.19,5.80057,4.27913,5.51906
189,avezin_P1,320.701,680.802,470.808,5.97786,2.81161,5.97116
190,avihiy_P1_H,249.519,1636.98,963.076,5.92085,5.5188,5.92085
191,avimoi_P1,449.104,1238.79,958.694,5.19672,4.33097,5.1957
192,avimuo_P1,322.249,928.609,708.911,4.68573,3.63516,4.68573
196,avujaf_P1,548.912,1325.41,1344.79,8.87599,7.41804,8.87599
197,avukek_P1,548.103,1319.83,1338.51,9.42597,7.83484,9.42425
198,avupep_P1,4624.79,1298.96,2122.76,17.35394,12.83352,17.35394
199,avuyey_P1,2957.03,2248.73,3066.41,8.18299,7.27755,7.86194
200,awakeq_P1_H,284.529,723.391,586.712,5.66517,3.68033,5.65855
201,awasau_P1_H,173.613,487.871,196.81,4.7001,3.98106,4.67968
202,awegep_P1_H,744.962,1376.54,603.459,5.97651,3.27707,5.96828
203,awejiw_P1,382.607,1302.51,1021.4,10.61392,10.27473,10.61392
204,awexor_P1,683.733,1257.53,1070.56,6.80988,5.96321,6.79493
205,awibal_P1,131.178,1377.04,786.488,4.59094,3.68543,4.58482
207,axepol_P1,332.647,621.336,456.852,4.96673,4.30352,4.96673
208,axinif_P1_H,2240.34,2380.47,3124.17,9.61893,8.65143,9.60699
209,axipee01_P1,1627.27,2332.64,1554.29,6.81111,4.3641,6.75959
210,axipee02_P1,4487.48,2335.06,1428.74,6.48792,4.04495,6.43092
211,axipee03_P1,1512.97,2330.95,1445.12,6.5428,4.0805,6.53621
212,axipee_P1,1440.22,2312.26,1375.63,6.41608,3.94175,5.91488
214,axixaj_P1,112.848,756.508,395.057,3.81123,3.43961,3.8005
215,axohie_P1,1060.32,878.393,679.985,5.68315,3.08,5.68315
217,axoyuk_P1,1212.12,1756.43,1422.54,5.16319,4.31747,5.15698
218,axubol_P1_H,2177.97,2139.27,2037.77,7.85711,4.28888,7.3298
219,axulem_P1_charged,1692.75,1935.57,2071.37,12.20276,11.17828,12.20276
220,axuvib_P1,678.505,1909.44,2212.16,8.27271,7.13422,8.24173
221,ayoxuj_P1,353.788,773.816,635.156,5.6307,4.86464,5.6307
222,ayoyeu_P1,205.748,913.257,708.314,4.82669,3.2469,4.82669
229,azekic_P1_charged_H,1744.46,1681.81,1651.78,11.3448,9.46247,11.3448
230,azekoi_P1_charged_H,1773.12,1703.08,1401.24,11.70455,9.82186,11.70455
231,azilec_P1,516.106,1242.74,1013.78,6.00977,3.33344,5.99728
233,azoxul_P1_charged_H,1756.59,1739.71,1276.41,6.39819,4.42159,6.16549
234,azufeg_P1,489.133,747.706,349.602,5.14848,3.30111,4.96945
235,azuhub_P1_H,1506.8,1922.19,1526.78,6.67015,4.14614,6.67015
236,azujaj_P1,1989.51,2523.34,2207.33,6.85789,5.05675,6.53012
237,azujir_P1_charged,1994.55,2535.18,2228.07,6.73124,5.03704,6.6066
238,bacgaq_P1,231.654,1265.14,1084.81,5.16583,4.20229,5.10629
239,bacmoh10_P1,91.8797,797.033,526.539,3.66416,3.18379,3.64163
240,bacmoh_P1_H,91.1797,790.961,522.528,3.59155,3.12423,3.57329
242,badhia_P1,692.744,1105.56,895.605,4.01973,3.00401,3.87152
243,badhog_P1,690.828,1107.59,893.128,4.02045,2.99403,3.87478
245,badxuc_P1,1903.75,1975.66,2231.01,10.5886,9.31212,10.5886
246,badyaj_P1,1850.67,2135.69,2168.81,8.60576,7.13629,8.60576
247,bafvox_P1,1919.45,2366.71,2134.16,7.76727,5.22105,7.76727
248,baghea_P1,416.69,1422.25,1358.57,7.87671,7.58172,7.87671
250,bahcof_P1_H,211.269,979.543,610.613,5.99602,5.53211,5.98732
251,bahgun02_P1,103.49,770.732,506.279,4.18568,3.20943,4.18568
252,bahgun03_P1,108.37,796.567,530.148,4.2227,3.25395,4.05163
253,bahgun04_P1,111.588,810.97,545.891,4.24052,3.28014,4.08878
254,bahgun_P1,115.477,843.851,564.919,4.24007,3.25153,4.12046
258,bakjee_P1_H,854.167,1968.76,1909.78,6.3073,4.80272,6.19896
259,bakjii_P1,510.864,2458.4,2562.59,6.19215,5.21845,6.19129
260,balwuk_P1,2932.02,2362.63,2927.38,9.82508,7.69854,9.82508
261,bamkim_P1_charged,546.984,1582.11,1254.49,6.70815,3.90029,6.70815
264,barkud_P1_charged,396.954,1511.13,1494.0,12.69716,12.60546,12.69716
265,basjub_P1,870.392,1966.87,1909.18,5.47244,4.59142,5.46868
266,basmug_P1,328.127,2033.74,1736.0,5.18515,4.20358,5.18515
267,bassof_P1,153.247,403.397,169.984,4.00466,2.89641,4.00466
268,bastia_P1,148.873,388.373,166.006,4.02123,2.90213,4.01663
270,battav_P1_charged,2867.89,1152.96,1015.98,15.7774,13.80743,15.7774
271,battez_P1,3404.05,1416.02,1429.95,15.41948,12.40249,15.41948
272,batxig_P1_H,1421.93,2436.8,2980.68,7.67793,6.34333,7.5333
273,bawruo_P1_charged_H,714.077,995.658,332.623,5.38069,2.87441,5.38069
275,bayqok_P1,339.867,1707.6,1471.93,6.84111,3.88509,6.81946
276,bayrax_P1,380.965,1380.78,937.227,6.64062,4.13333,6.64062
282,bazbow_P1,1043.29,962.174,827.311,10.15922,5.0781,6.32513
283,bazdaj_P1,154.305,450.571,273.901,3.95091,2.91907,3.92718
284,bazgeq_P1_H,10117.1,1673.59,4844.77,27.2474,10.2978,26.81088
285,bazjet_P1_H,991.242,1916.62,2502.15,12.23436,12.02516,12.23436
286,baztuu_P1,3658.67,1505.89,1224.63,8.24223,4.71671,7.84396
287,bebwox_P1,255.392,665.672,488.885,4.25065,2.91668,4.24039
289,beckay_P1,816.815,1166.71,716.628,4.68211,3.40487,4.65446
291,becsua_P1,1717.26,1432.94,1322.28,7.86035,3.08654,7.84904
292,bedpae_P1,975.282,1396.06,1101.78,6.36985,3.27907,6.36985
294,beghee_P1,1117.5,2149.03,2169.03,7.25262,4.49739,7.24062
295,begpub_P1,772.055,2125.94,2014.78,9.8801,8.05476,9.8801
296,begzas_P1,1151.53,2925.02,3736.84,6.83328,4.25799,6.71274
300,bekqug_P1,597.977,2321.57,2088.74,5.64588,3.89081,5.61581
301,beljil_P1,794.349,1047.0,813.172,7.19846,5.21426,7.19846
303,beltuj_P1_H,1672.54,1378.75,1144.04,5.58677,3.40316,5.55722
304,belvar_P1_charged,1007.25,823.751,673.983,5.90708,3.57003,5.29934
306,bepluf_P1,336.769,1219.26,1167.14,9.83525,9.74471,9.83525
307,bepmam_P1,323.663,1187.37,1121.72,9.6498,9.56867,9.64415
308,bepmeq_P1,349.511,1268.54,1252.67,10.20779,10.09528,10.20779
309,bepmiu_P1,345.97,1266.63,1239.98,10.03673,9.94011,10.03673
310,bepniv_P1_H,282.776,1040.97,934.745,8.14406,8.04109,8.14084
311,bepnob_P1_H,321.853,1180.73,1115.45,9.65883,9.55164,9.65883
312,bepnuh_P1,345.117,1244.36,1067.48,10.29345,10.19066,10.29345
313,beppap_P1,341.273,1261.96,1223.15,9.89387,9.77945,9.89387
314,beppix_P1,277.576,1012.08,839.949,7.7185,7.60092,7.7185
315,bepvav_P1,114.216,833.415,609.683,4.41523,3.26566,4.41523
316,bepvez_P1,175.127,1186.8,934.827,5.77204,4.44605,5.73714
317,bepvid_P1,156.623,1091.58,836.055,5.26723,4.2114,5.26723
318,bepvoj01_P1,148.888,1056.0,794.763,5.10628,3.9453,5.09236
319,bepvoj_P1,141.718,1021.8,756.489,4.84136,3.77975,4.82812
320,beqfek_P1,1367.26,829.389,771.039,10.53908,10.44621,10.53908
321,beqkam_P1_H,3868.89,2147.19,1914.01,10.90479,3.80911,10.84928
324,betdel_P1_H,812.943,1510.78,1085.32,4.72006,3.94033,4.71647
325,betdip_P1_H,618.851,1172.26,831.468,4.66737,3.51018,4.66737
326,betdub_P1_H,550.214,1047.59,748.549,4.39143,3.35592,4.39143
330,betyeh_P1,932.117,1998.57,2165.24,7.44596,6.39923,7.44596
331,betzor_P1_H,1880.73,1518.06,1326.28,7.74216,4.71887,7.74216
336,bexmid_P1,764.802,1496.49,1373.11,6.89766,5.93017,6.89416
338,beysef_P1,1026.75,1713.22,1452.14,5.61729,4.74796,5.61729
339,bibbul_P1,142.298,537.903,407.381,3.84579,3.31165,3.84274
340,bibqov_P1,213.131,980.362,606.506,4.38178,3.66227,4.36971
342,bifkei_P1,338.784,1263.46,908.611,4.47781,3.07096,4.3504
344,bifsob_P1_charged,1861.1,1555.04,1087.12,8.45996,6.10922,8.43041
345,bijzig_P1,2474.13,2185.69,3541.15,10.54312,8.69872,10.49154
346,bimpev_P1,767.973,1954.99,2044.92,6.44898,5.79069,6.44898
347,binroh_P1_H,7559.34,2105.41,4036.29,21.31368,6.51761,21.28868
348,binrun_P1_H,7483.77,2108.37,3980.32,21.10287,6.38009,21.08219
349,binsau_P1_H,7783.77,2068.22,4233.67,21.88013,6.26497,21.87142
350,biplix_P1_H,1181.24,1837.97,1652.64,7.15228,4.93137,7.15228
351,bipnas_P1_H,208.016,641.975,230.39,4.95198,4.04853,4.95077
352,bipsuq_P1_H,9109.65,2120.91,4608.42,18.61448,16.72887,17.47406
353,bipxik_P1,1025.84,1934.12,1644.24,6.51335,4.28625,6.51335
354,bipxoq_P1,715.789,1345.52,1014.29,5.33503,3.1419,5.30277
355,birbiq_P1_charged_H,422.931,1297.28,907.13,5.55831,3.86497,5.55831
356,birbow_P1_charged_H,409.622,1285.81,869.957,5.37255,3.53499,5.27249
357,birbuc_P1_charged_H,394.003,1237.69,832.586,5.35684,3.51157,5.35326
358,bircaj_P1_charged_H,413.181,1289.0,879.594,5.37591,3.59051,5.29421
359,birmum_P1,243.394,530.551,411.859,5.51026,4.36322,5.5097
364,biwsae_P1,145.43,957.137,574.419,5.73834,3.46227,5.73309
366,biytej_P1,266.918,1328.25,958.364,6.53627,6.38553,6.52858
367,biyvir_P1,292.844,1252.33,1015.18,5.36447,4.2172,5.32766
368,biyvox_P1,860.672,1311.94,1151.9,5.24561,3.37246,5.24429
370,bobriw_P1,562.517,1040.07,873.664,6.2307,3.47571,6.22669
374,bofceg_P1,210.235,1647.04,1219.64,4.74864,3.26416,4.74864
382,bombaj_P1,993.148,2100.07,2379.68,7.8679,7.10373,7.8647
383,bomcox_P1,805.867,1597.31,1421.6,5.96735,4.27871,5.96735
387,bophiz_P1_charged_H,398.131,1297.83,937.249,6.87719,3.65302,6.87553
389,borkif_P1,2394.98,1356.82,1110.04,6.33874,3.32815,5.86531
390,borkol_P1,2382.31,1359.85,1102.93,6.2314,3.32749,6.14197
391,borkur_P1,2342.15,1347.67,1080.23,6.204,3.28967,6.204
392,bormon_P1,1232.52,2210.88,2133.98,5.99406,4.69765,5.18195
394,botceu_P1,582.293,589.591,429.586,5.96594,4.21479,5.96594
396,bowdic_P1_H,1677.55,1821.5,1785.97,7.01096,4.61744,6.87859
397,bownej_P1_charged,310.789,1205.17,941.818,4.91907,3.52812,4.85457
398,bowqag_P1,108.113,549.313,375.255,3.48249,3.13616,3.47483
399,bowsiq_P1,1285.0,1072.78,885.812,5.02582,3.25281,5.01133
400,bowzuk_P1_charged,1153.28,1525.24,1647.6,8.34591,7.8167,8.29093
401,boxrak_P1,381.987,1410.3,981.435,5.95766,4.40899,5.95766
402,boxyiy_P1_charged,82.8361,635.049,344.504,4.39053,3.85775,4.38747
403,bozfaz_P1,707.528,1682.71,1534.96,6.84364,5.13623,6.8195
404,bozfih_P1,1275.96,2056.59,1913.63,5.87158,4.007,5.84808
405,bozfon_P1_H,1200.65,1351.06,1074.31,6.15469,3.66995,5.88857
406,bubjuf_P1,574.673,2329.56,1821.68,5.27797,4.04188,5.26499
410,bubvec_P1,242.473,1123.01,884.734,4.95457,3.98467,4.95457
411,bubvig_P1,246.529,1153.56,899.536,5.12055,4.28801,4.94588
412,bubvur_P1,268.174,1440.71,717.997,4.78604,3.94581,4.6318
414,bucvec_P1,972.628,859.586,701.508,5.39314,3.41988,5.37991
415,bucvig_P1,927.296,829.648,677.191,5.34007,3.27818,5.33717
416,buddio_P1,27.4282,346.276,231.719,3.29205,2.84666,3.26433
418,bugsay_P1,148.212,981.604,532.97,4.24489,3.03621,4.23686
419,bugsec_P1,157.29,1023.82,580.214,4.27547,3.05837,4.26782
420,bugsig_P1,157.34,1028.14,572.978,4.27768,3.08405,4.26868
421,bugsom_P1,151.325,997.336,548.85,4.25992,3.05306,4.12759
423,bukmuq01_P1,281.252,1567.97,1333.17,4.68339,4.05151,4.68185
424,bukmuq_P1,279.121,1552.26,1323.07,4.81228,4.25094,4.77288
425,bukruw01_P1_H,2092.69,2553.35,2579.1,10.63994,5.17607,10.62273
426,bukruw02_P1,2184.31,2665.26,2705.41,10.18784,4.99314,10.17818
427,bukruw03_P1,2134.16,2612.26,2643.3,10.50715,5.08851,10.496
428,bukruw_P1,2114.62,2606.2,2619.09,10.82561,5.19047,10.82561
429,buksad_P1_H,2324.59,2868.06,3836.81,9.54521,6.05511,9.29212
430,buksil_P1,2087.47,2558.73,2613.22,10.47682,5.17581,10.46893
431,buktae_P1,2109.52,2580.45,2612.78,10.86103,5.09371,10.83587
432,buktei_P1,2067.52,2541.96,2560.76,10.83692,5.14516,10.83692
433,buktim_P1,2098.51,2575.25,2599.13,10.84567,5.10475,10.84567
434,buktos_P1,2098.89,2577.03,2599.61,10.84336,5.15775,10.84336
435,bukwow_P1,22.736,402.989,171.559,3.79366,2.87599,3.79366
436,bukwuc_P1,23.3458,414.18,176.16,3.81916,2.89462,3.81916
437,bukxox_P1,20.7364,374.61,155.081,3.75896,2.84199,3.75641
438,bukxud_P1,22.9513,408.946,171.646,3.76503,2.8909,3.76252
439,bukyaj_P1,160.135,1532.81,1661.69,5.10209,3.53964,5.09477
440,bukyak_P1,21.3179,381.772,158.473,3.68973,2.84194,3.68973
441,bukyoy_P1,18.7262,340.985,138.411,3.74607,2.83638,3.74607
442,bukyue_P1,20.6827,373.257,152.247,3.66229,2.81323,3.65901
443,bukzal_P1,19.3475,349.207,142.418,3.63482,2.82853,3.63482
447,buqrox_P1,346.954,622.677,464.798,4.07683,3.11019,4.04315
448,buqrud_P1,370.345,669.084,496.133,4.26388,3.0699,4.24719
449,buqsak_P1,317.443,577.06,425.263,4.24227,3.1347,4.24227
450,buqseo_P1,604.956,1234.59,1080.57,5.76771,3.21435,5.76707
451,buqsis_P1,592.898,1217.06,1059.04,5.77974,3.09273,5.77321
452,buqsue_P1,622.989,1296.85,1112.79,5.63609,3.36682,5.39869
453,busgig_P1,65.9203,393.11,177.773,3.65721,3.28951,3.58547
454,busgom_P1,74.5939,436.053,205.636,3.72853,3.3253,3.71677
455,busjor_P1,390.557,2455.01,2141.23,5.23943,3.47258,5.08035
458,busrue_P1,830.901,1728.7,1618.29,6.9387,5.51917,6.92321
459,butpir_P1,1980.17,1781.33,2069.01,9.11169,7.35825,9.11169
462,buvsod_P1,362.744,1165.71,883.287,4.345,2.85409,4.15742
464,buvwof02_P1,591.411,971.885,771.827,7.02745,5.38839,7.02745
465,buwgac01_P1,170.917,1155.16,836.189,5.94117,5.66691,5.93565
466,buwgac02_P1,165.796,1143.55,811.136,5.86935,5.60901,5.86518
467,buwgac03_P1,166.018,1145.08,812.218,5.86935,5.60901,5.86518
468,buwgac04_P1,165.94,1144.7,811.836,5.8601,5.60443,5.85679
469,buwgac05_P1,163.759,1122.96,801.166,5.89153,5.62742,5.88662
470,buwgac06_P1,165.869,1136.8,811.493,5.88564,5.62436,5.88166
471,buwgac07_P1,166.754,1132.52,815.819,5.92104,5.65011,5.91619
472,buwgac08_P1,167.536,1135.27,819.645,5.93053,5.6573,5.92544
473,buwgac09_P1,168.985,1142.39,826.735,5.93982,5.66544,5.9344
474,buwgac10_P1,168.899,1135.17,826.316,5.96643,5.68795,5.95969
475,buwgac11_P1,166.292,1119.57,813.56,5.95991,5.68397,5.95345
476,buwgac12_P1,169.204,1137.55,827.808,5.9656,5.68863,5.95883
477,buwgac13_P1,165.897,1125.26,811.627,5.92855,5.65874,5.92302
478,buwgac14_P1,165.795,1133.19,811.127,5.9034,5.63676,5.89824
479,buwgac15_P1,170.709,1155.8,835.171,5.93646,5.66383,5.93091
480,buwgac16_P1,168.521,1138.64,824.467,5.94458,5.67018,5.93872
481,buwgac17_P1,169.208,1141.43,827.827,5.95186,5.67624,5.94573
482,buwgac18_P1,164.031,1131.23,802.497,5.86992,5.60967,5.86573
483,buwgac19_P1,171.72,1155.52,840.114,5.96083,5.68289,5.95437
484,buwgac20_P1,166.539,1133.41,814.77,5.91616,5.64921,5.91091
485,buwgac21_P1,168.842,1134.76,826.035,5.96889,5.68818,5.962
486,buwgac22_P1,165.542,1134.41,809.89,5.88499,5.62388,5.88102
487,buwgac23_P1,168.502,1132.5,824.372,5.96643,5.68795,5.95969
488,buwgac24_P1,167.643,1129.64,820.17,5.95532,5.67849,5.94919
489,buwgac_P1,160.976,1132.77,787.552,5.77667,5.51512,5.77667
490,buwgeg_P1,264.058,1521.81,1143.18,6.37209,5.83562,6.32033
492,buxnoz_P1_H,5264.01,2506.01,2912.74,8.26868,5.98661,7.40931
493,buydac_P1,1263.79,2552.43,2337.49,6.31455,3.75507,6.24319
494,buydeg_P1,1009.16,2014.52,1640.69,6.39596,3.82367,6.39165
495,cabjex_P1,1574.28,2205.57,1984.4,7.7671,4.31087,5.07182
496,cabjoh_P1,311.588,1097.75,823.158,4.51574,3.92462,4.47478
497,cabnus_P1,572.206,1202.61,1031.02,6.34427,5.84828,6.33295
499,cackez_P1,1036.61,1769.34,2700.92,11.25321,9.8866,11.25321
