,Filename,ASA_A^2,ASA_m^2/cm^3,ASA_m^2/g,Largest Included Sphere,Largest Free Sphere,Included Sphere Along Free Sphere Path
6444,wophiu01_P1_H,672.508,822.167,595.99,5.05516,3.22,5.05516
6445,wophiu_P1_H,765.328,946.41,678.248,4.37319,2.96129,4.37319
6446,woprok_P1_H,248.362,1064.53,723.282,4.66137,3.56395,4.65384
6447,wopsax01_P1,681.225,1676.43,1490.66,11.57332,10.92236,11.57154
6448,wopsax02_P1,680.273,1671.79,1488.58,11.61449,10.87887,11.61286
6449,wopsax_P1,680.072,1672.08,1488.14,11.66238,10.95208,11.66063
6450,wopsol01_P1_H,682.054,1763.53,1343.08,9.97902,8.3557,9.97902
6451,wopsol_P1_H,677.644,1753.18,1334.39,9.9354,8.3282,9.93539
6454,woqtut_P1,652.17,1623.07,1179.82,7.72747,5.79928,7.72747
6455,woqvab_P1_H,685.406,1694.91,1499.81,11.59613,10.80969,11.59481
6456,workul_P1_H,1424.21,2196.87,2242.61,8.46756,5.51717,8.46756
6457,worlas_P1_H,1128.17,1760.09,1635.15,9.18993,4.70195,9.18993
6458,worney_P1,205.693,351.603,222.543,5.14261,3.47981,4.54879
6459,wortaa_P1,1165.54,1538.7,1427.29,7.0777,5.48815,7.0777
6460,woshet_P1_H,152.421,682.057,427.141,5.11803,3.37228,5.11803
6461,woszel_P1,282.626,810.807,686.308,5.14853,4.10898,5.14774
6462,wotsef_P1,505.605,2070.49,1848.93,5.19247,3.97368,5.18601
6464,wowned_P1,425.729,1028.03,728.245,6.39935,5.47406,6.39262
6466,woxwis_P1,232.691,778.844,502.446,4.5599,3.92486,4.54716
6467,woybaq_P1,24.6509,514.685,211.261,3.61695,2.83008,3.61449
6468,woyhup_P1_charged_H,2541.47,2868.08,3440.49,7.72974,5.26497,7.71224
6469,woyjif_P1_charged_H,2476.29,2862.54,3374.64,7.82064,5.26659,7.79981
6470,woywis_P1_charged_H,860.693,816.341,662.696,5.3451,3.7175,5.3451
6471,wublox_P1,657.325,1669.72,1409.89,11.28559,10.73632,11.28354
6472,wublud_P1,671.191,1688.19,1439.63,11.37235,10.90896,11.37073
6473,wubmak_P1,664.644,1671.13,1425.58,11.35351,10.89521,11.35197
6474,wubmis_P1,701.977,1738.98,1393.83,11.26057,9.95443,11.26057
6475,wucwic_P1,1151.31,1516.43,1038.84,7.8028,7.68463,7.8028
6476,wudvey_P1_H,454.983,688.392,477.939,6.42326,5.40171,6.4177
